,dateTime,sleepStage,sleepStageNum
683,2023-04-21 03:41:50,deep,3
684,2023-04-21 03:42:00,deep,3
685,2023-04-21 03:42:10,deep,3
686,2023-04-21 03:42:20,deep,3
687,2023-04-21 03:42:30,deep,3
688,2023-04-21 03:42:40,deep,3
689,2023-04-21 03:42:50,deep,3
690,2023-04-21 03:43:00,deep,3
691,2023-04-21 03:43:10,deep,3
692,2023-04-21 03:43:20,deep,3
693,2023-04-21 03:43:30,deep,3
694,2023-04-21 03:43:40,deep,3
695,2023-04-21 03:43:50,deep,3
696,2023-04-21 03:44:00,deep,3
697,2023-04-21 03:44:10,deep,3
698,2023-04-21 03:44:20,deep,3
699,2023-04-21 03:44:30,deep,3
700,2023-04-21 03:44:40,deep,3
701,2023-04-21 03:44:50,deep,3
702,2023-04-21 03:45:00,deep,3
703,2023-04-21 03:45:10,deep,3
704,2023-04-21 03:45:20,deep,3
705,2023-04-21 03:45:30,deep,3
706,2023-04-21 03:45:40,deep,3
707,2023-04-21 03:45:50,deep,3
708,2023-04-21 03:46:00,deep,3
709,2023-04-21 03:46:10,deep,3
710,2023-04-21 03:46:20,deep,3
711,2023-04-21 03:46:30,deep,3
712,2023-04-21 03:46:40,deep,3
713,2023-04-21 03:46:50,deep,3
714,2023-04-21 03:47:00,deep,3
715,2023-04-21 03:47:10,deep,3
716,2023-04-21 03:47:20,deep,3
717,2023-04-21 03:47:30,deep,3
718,2023-04-21 03:47:40,deep,3
719,2023-04-21 03:47:50,deep,3
720,2023-04-21 03:48:00,deep,3
721,2023-04-21 03:48:10,deep,3
722,2023-04-21 03:48:20,deep,3
723,2023-04-21 03:48:30,deep,3
724,2023-04-21 03:48:40,deep,3
725,2023-04-21 03:48:50,deep,3
726,2023-04-21 03:49:00,deep,3
727,2023-04-21 03:49:10,deep,3
728,2023-04-21 03:49:20,deep,3
729,2023-04-21 03:49:30,deep,3
730,2023-04-21 03:49:40,deep,3
731,2023-04-21 03:49:50,deep,3
732,2023-04-21 03:50:00,deep,3
733,2023-04-21 03:50:10,deep,3
734,2023-04-21 03:50:20,deep,3
735,2023-04-21 03:50:30,deep,3
736,2023-04-21 03:50:40,deep,3
737,2023-04-21 03:50:50,deep,3
738,2023-04-21 03:51:00,deep,3
739,2023-04-21 03:51:10,deep,3
740,2023-04-21 03:51:20,deep,3
741,2023-04-21 03:51:30,deep,3
742,2023-04-21 03:51:40,deep,3
743,2023-04-21 03:51:50,deep,3
744,2023-04-21 03:52:00,deep,3
745,2023-04-21 03:52:10,deep,3
746,2023-04-21 03:52:20,deep,3
747,2023-04-21 03:52:30,deep,3
748,2023-04-21 03:52:40,deep,3
749,2023-04-21 03:52:50,deep,3
750,2023-04-21 03:53:00,deep,3
751,2023-04-21 03:53:10,deep,3
752,2023-04-21 03:53:20,deep,3
753,2023-04-21 03:53:30,deep,3
754,2023-04-21 03:53:40,deep,3
755,2023-04-21 03:53:50,deep,3
756,2023-04-21 03:54:00,deep,3
757,2023-04-21 03:54:10,deep,3
758,2023-04-21 03:54:20,deep,3
759,2023-04-21 03:54:30,deep,3
760,2023-04-21 03:54:40,deep,3
761,2023-04-21 03:54:50,deep,3
762,2023-04-21 03:55:00,deep,3
763,2023-04-21 03:55:10,deep,3
764,2023-04-21 03:55:20,deep,3
765,2023-04-21 03:55:30,deep,3
766,2023-04-21 03:55:40,deep,3
767,2023-04-21 03:55:50,deep,3
768,2023-04-21 03:56:00,deep,3
769,2023-04-21 03:56:10,deep,3
770,2023-04-21 03:56:20,deep,3
771,2023-04-21 03:56:30,deep,3
772,2023-04-21 03:56:40,deep,3
773,2023-04-21 03:56:50,deep,3
774,2023-04-21 03:57:00,deep,3
775,2023-04-21 03:57:10,deep,3
776,2023-04-21 03:57:20,deep,3
777,2023-04-21 03:57:30,deep,3
778,2023-04-21 03:57:40,deep,3
779,2023-04-21 03:57:50,deep,3
780,2023-04-21 03:58:00,deep,3
781,2023-04-21 03:58:10,deep,3
782,2023-04-21 03:58:20,deep,3
783,2023-04-21 03:58:30,deep,3
784,2023-04-21 03:58:40,deep,3
785,2023-04-21 03:58:50,deep,3
786,2023-04-21 03:59:00,deep,3
787,2023-04-21 03:59:10,deep,3
788,2023-04-21 03:59:20,deep,3
789,2023-04-21 03:59:30,deep,3
790,2023-04-21 03:59:40,deep,3
791,2023-04-21 03:59:50,deep,3
792,2023-04-21 04:00:00,deep,3
793,2023-04-21 04:00:10,deep,3
794,2023-04-21 04:00:20,deep,3
795,2023-04-21 04:00:30,deep,3
796,2023-04-21 04:00:40,deep,3
797,2023-04-21 04:00:50,deep,3
798,2023-04-21 04:01:00,deep,3
799,2023-04-21 04:01:10,deep,3
800,2023-04-21 04:01:20,deep,3
801,2023-04-21 04:01:30,deep,3
802,2023-04-21 04:01:40,deep,3
803,2023-04-21 04:01:50,deep,3
804,2023-04-21 04:02:00,deep,3
805,2023-04-21 04:02:10,deep,3
806,2023-04-21 04:02:20,deep,3
807,2023-04-21 04:02:30,deep,3
808,2023-04-21 04:02:40,deep,3
809,2023-04-21 04:02:50,deep,3
810,2023-04-21 04:03:00,deep,3
811,2023-04-21 04:03:10,deep,3
812,2023-04-21 04:03:20,deep,3
813,2023-04-21 04:03:30,deep,3
814,2023-04-21 04:03:40,deep,3
815,2023-04-21 04:03:50,deep,3
816,2023-04-21 04:04:00,deep,3
817,2023-04-21 04:04:10,deep,3
818,2023-04-21 04:04:20,deep,3
819,2023-04-21 04:04:30,wake,0
820,2023-04-21 04:04:40,wake,0
821,2023-04-21 04:04:50,wake,0
822,2023-04-21 04:05:00,wake,0
823,2023-04-21 04:05:10,wake,0
824,2023-04-21 04:05:20,wake,0
825,2023-04-21 04:05:30,wake,0
826,2023-04-21 04:05:40,wake,0
827,2023-04-21 04:05:50,wake,0
828,2023-04-21 04:06:00,wake,0
829,2023-04-21 04:06:10,wake,0
